Jahr;Einwohner
1970;333.446
1971;340.048
1972;346.661
1973;351.470
1974;351.626
1975;349.139
1976;348.384
1977;349.296
1978;351.171
1979;353.861
1980;356.142
1981;356.252
1982;355.322
1983;354.456
1984;354.348
1985;356.198
1986;359.695
1987;362.499
1988;366.960
1989;373.065
1990;380.813
1991;387.872
1992;393.028
1993;395.828
1994;396.461
1995;399.116
1996;401.635
1997;403.108
1998;404.378
1999;407.213
2000;409.296
2001;412.959
2002;415.764
2003;416.635
2004;417.463
2005;417.697
2006;417.609
2007;417.131
2008;416.255
2009;415.696
2010;415.448
2011;407.150
2012;408.827
2013;411.025
2014;414.016
2015;419.456
2016;422.698
2017;424.878
2018;426.158
2019;427.248
2020;427.286
2021;427.316
2022;432.397
2023;434.369
