Jahr;Wasserbereitstellung_Summe
1974;68,8
1975;72,0
1976;76,7
1977;77,4
1978;78,3
1979;82,2
1980;81,0
1981;81,6
1982;81,3
1983;82,5
1984;82,4
1985;82,9
1986;83,5
1987;81,0
1988;81,2
1989;83,9
1990;83,3
1991;85,4
1992;85,3
1993;83,0
1994;86,3
1995;84,3
1996;83,4
1997;85,5
1998;87,4
1999;89,0
2000;90,3
2001;90,9
2002;91,4
2003;98,5
2004;95,5
2005;93,5
2006;92,6
2007;91,8
2008;89,9
2009;89,8
2010;89,6
2011;90,0
2012;93,4
2013;89,2
2014;90,5
2015;94,8
2016;95,8
2017;99,2
2018;102,7
2019;98,9
2020;101,7
2021;97,1
