Jahr;Ludwigsburg
1970;402.244
1971;409.515
1972;417.835
1973;426.897
1974;427.208
1975;423.805
1976;422.648
1977;425.281
1978;427.497
1979;431.535
1980;435.649
1981;435.701
1982;433.921
1983;431.392
1984;431.140
1985;434.254
1986;438.235
1987;444.651
1988;449.699
1989;457.343
1990;465.429
1991;472.972
1992;479.143
1993;482.122
1994;483.057
1995;485.831
1996;487.784
1997;489.007
1998;491.690
1999;495.443
2000;497.764
2001;503.229
2002;507.043
2003;509.681
2004;511.830
2005;513.317
2006;513.998
2007;515.146
2008;515.898
2009;516.874
2010;517.985
2011;512.086
2012;516.748
2013;521.633
2014;526.377
2015;534.074
2016;537.902
2017;542.630
2018;543.984
2019;545.423
2020;544.971
2021;544.679
2022;551.051
2023;553.689
