nodal_demand,n_nodal_datapoints_available,datetime
3117.6427719999997,29.0,2016-12-30 23:00:00
2476.5034742222224,29.0,2016-12-31 00:00:00
2336.1204747777774,29.0,2016-12-31 01:00:00
1882.2167945555552,29.0,2016-12-31 02:00:00
1821.6503239999997,29.0,2016-12-31 03:00:00
1725.4341202222222,29.0,2016-12-31 04:00:00
1462.2859322222223,29.0,2016-12-31 05:00:00
2109.966192888889,29.0,2016-12-31 06:00:00
1820.5057717777781,29.0,2016-12-31 07:00:00
2168.2988746111114,29.0,2016-12-31 08:00:00
2142.4534017222227,29.0,2016-12-31 09:00:00
2478.3130265555565,29.0,2016-12-31 10:00:00
2768.733846833334,29.0,2016-12-31 11:00:00
2590.9747213888886,29.0,2016-12-31 12:00:00
3324.3693309444443,29.0,2016-12-31 13:00:00
3281.6806533888885,29.0,2016-12-31 14:00:00
3298.0582675000005,29.0,2016-12-31 15:00:00
3644.287928055556,29.0,2016-12-31 16:00:00
3871.7556158888883,29.0,2016-12-31 17:00:00
4064.177225555555,29.0,2016-12-31 18:00:00
3786.2235805555547,29.0,2016-12-31 19:00:00
3456.8342873888887,29.0,2016-12-31 20:00:00
3010.014187333333,29.0,2016-12-31 21:00:00
2956.199916333333,29.0,2016-12-31 22:00:00
2822.7499895555547,29.0,2016-12-31 23:00:00
3108.0491869999996,29.0,2017-01-01 00:00:00
2660.6641325555547,29.0,2017-01-01 01:00:00
2733.942178555556,29.0,2017-01-01 02:00:00
1774.439187111111,29.0,2017-01-01 03:00:00
1963.2015227777779,29.0,2017-01-01 04:00:00
1932.6097302222224,29.0,2017-01-01 05:00:00
1801.4362910555556,29.0,2017-01-01 06:00:00
1969.556549277777,29.0,2017-01-01 07:00:00
1989.692461722222,29.0,2017-01-01 08:00:00
1933.7988079444442,29.0,2017-01-01 09:00:00
1979.658558722222,29.0,2017-01-01 10:00:00
2221.919427722222,29.0,2017-01-01 11:00:00
2346.2958745555557,29.0,2017-01-01 12:00:00
2293.024562333334,29.0,2017-01-01 13:00:00
3066.027793277777,29.0,2017-01-01 14:00:00
3113.3234448888893,29.0,2017-01-01 15:00:00
2870.105445166666,29.0,2017-01-01 16:00:00
2954.431610888889,29.0,2017-01-01 17:00:00
3138.0083151666668,29.0,2017-01-01 18:00:00
2718.936242999999,29.0,2017-01-01 19:00:00
2732.7666670555554,29.0,2017-01-01 20:00:00
2298.6566413888886,29.0,2017-01-01 21:00:00
2210.2442179444447,29.0,2017-01-01 22:00:00
2636.806467833334,29.0,2017-01-01 23:00:00
2246.7026853333336,29.0,2017-01-02 00:00:00
2141.7627047777773,29.0,2017-01-02 01:00:00
1291.9130204444446,29.0,2017-01-02 02:00:00
1209.6082800555555,29.0,2017-01-02 03:00:00
1210.0319697222224,29.0,2017-01-02 04:00:00
1121.4994691111115,29.0,2017-01-02 05:00:00
1883.9402511111116,29.0,2017-01-02 06:00:00
1805.3157144444447,29.0,2017-01-02 07:00:00
2207.8124295000002,29.0,2017-01-02 08:00:00
2795.4109220555556,29.0,2017-01-02 09:00:00
3110.325065944444,29.0,2017-01-02 10:00:00
3095.448178777777,29.0,2017-01-02 11:00:00
2702.7879590555553,29.0,2017-01-02 12:00:00
2442.7149091111114,29.0,2017-01-02 13:00:00
2510.486023222222,29.0,2017-01-02 14:00:00
2693.8791492777773,29.0,2017-01-02 15:00:00
2970.688088222222,29.0,2017-01-02 16:00:00
3058.7946365555554,29.0,2017-01-02 17:00:00
3020.5077361111116,29.0,2017-01-02 18:00:00
3034.8710816111106,29.0,2017-01-02 19:00:00
3097.2438448333332,29.0,2017-01-02 20:00:00
2954.811641555555,29.0,2017-01-02 21:00:00
2906.262744888889,29.0,2017-01-02 22:00:00
2770.931041499999,29.0,2017-01-02 23:00:00
2556.748848777778,29.0,2017-01-03 00:00:00
2510.646368388889,29.0,2017-01-03 01:00:00
2074.7961971666664,29.0,2017-01-03 02:00:00
2006.4806964999998,29.0,2017-01-03 03:00:00
1794.3883556666665,29.0,2017-01-03 04:00:00
1420.5671503888886,29.0,2017-01-03 05:00:00
1614.9235343888886,29.0,2017-01-03 06:00:00
2039.3328806666666,29.0,2017-01-03 07:00:00
2480.5190815000005,29.0,2017-01-03 08:00:00
2601.054091,29.0,2017-01-03 09:00:00
2677.5448102222217,29.0,2017-01-03 10:00:00
2504.885354444444,29.0,2017-01-03 11:00:00
2676.0344018333335,29.0,2017-01-03 12:00:00
2891.034985055555,29.0,2017-01-03 13:00:00
3020.956298666666,29.0,2017-01-03 14:00:00
2892.6237103888884,29.0,2017-01-03 15:00:00
2931.106094111112,29.0,2017-01-03 16:00:00
2938.0016866666656,29.0,2017-01-03 17:00:00
3159.135993611111,29.0,2017-01-03 18:00:00
3278.9778136666664,29.0,2017-01-03 19:00:00
3671.005217611111,29.0,2017-01-03 20:00:00
3140.765326611112,29.0,2017-01-03 21:00:00
2809.2077867222224,29.0,2017-01-03 22:00:00
2610.9483231111117,29.0,2017-01-03 23:00:00
2173.0838977777776,29.0,2017-01-04 00:00:00
1733.2266991666665,29.0,2017-01-04 01:00:00
1596.1805729444445,29.0,2017-01-04 02:00:00
1318.4877728888891,29.0,2017-01-04 03:00:00
1818.3879375555557,29.0,2017-01-04 04:00:00
1851.1176099444444,29.0,2017-01-04 05:00:00
1931.1087591111109,29.0,2017-01-04 06:00:00
1757.364904722222,29.0,2017-01-04 07:00:00
2159.220078444445,29.0,2017-01-04 08:00:00
2097.6105166666666,29.0,2017-01-04 09:00:00
2217.416976444444,29.0,2017-01-04 10:00:00
2398.7656964444445,29.0,2017-01-04 11:00:00
2445.7894205000002,29.0,2017-01-04 12:00:00
3000.1147045555563,29.0,2017-01-04 13:00:00
2991.3532805,29.0,2017-01-04 14:00:00
2762.6119425,29.0,2017-01-04 15:00:00
2672.057661444444,29.0,2017-01-04 16:00:00
2983.458113888888,29.0,2017-01-04 17:00:00
3241.4583604444447,29.0,2017-01-04 18:00:00
3175.549031055554,29.0,2017-01-04 19:00:00
3364.7708463888885,29.0,2017-01-04 20:00:00
3150.499703055555,29.0,2017-01-04 21:00:00
