Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
4931;Stuttgart-Echterdingen;R1;22.10.1995-19:00;22.10.1995-20:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;08.11.1995-19:00;08.11.1995-20:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;12.11.1995-09:00;12.11.1995-10:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;30.01.1996-16:00;30.01.1996-17:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;14.03.1996-12:00;14.03.1996-13:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;16.04.1996-10:00;16.04.1996-11:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;01.11.1996-23:00;02.11.1996-00:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;25.03.1997-14:00;25.03.1997-15:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;04.09.1997-03:00;04.09.1997-05:00;2;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;23.09.1997-22:00;23.09.1997-23:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;29.09.1997-10:00;29.09.1997-11:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;24.10.1997-09:00;24.10.1997-11:00;2;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;01.02.1998-10:00;01.02.1998-11:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;09.08.1998-04:00;09.08.1998-05:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;17.10.1998-06:00;17.10.1998-07:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;17.12.1998-15:00;17.12.1998-16:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;21.12.1998-05:00;21.12.1998-06:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;23.12.1998-08:00;23.12.1998-09:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;29.12.1998-10:00;29.12.1998-11:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;02.01.1999-07:00;02.01.1999-10:00;3;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;11.03.1999-16:00;11.03.1999-17:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;23.08.2000-06:00;23.08.2000-08:00;2;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;04.12.2000-16:00;05.12.2000-03:00;11;;eor;                                                                                                                               
4931;Stuttgart-Echterdingen;R1;05.12.2000-23:00;06.12.2000-02:00;3;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;01.04.2001-00:00;01.04.2001-11:00;11;;eor;                                                                                                                               
4931;Stuttgart-Echterdingen;R1;01.04.2001-13:00;01.04.2001-17:00;4;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;01.04.2001-19:00;01.04.2001-23:00;4;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;02.04.2001-01:00;02.04.2001-05:00;4;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;02.04.2001-07:00;02.04.2001-11:00;4;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;02.04.2001-13:00;02.04.2001-17:00;4;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;02.04.2001-19:00;02.04.2001-23:00;4;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;04.04.2001-11:00;04.04.2001-12:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;08.05.2001-08:00;08.05.2001-09:00;1;;eor;                                                                                                                                
4931;Stuttgart-Echterdingen;R1;28.06.2001-11:00;28.06.2001-12:00;1;;eor;                                                                                                                                
