Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
4928;Stuttgart (Schnarrenberg);R1;01.06.1998-20:00;02.06.1998-06:00;10;;eor;                                                                                                                            
4928;Stuttgart (Schnarrenberg);R1;02.06.1998-08:00;07.06.1998-11:00;123;;eor;                                                                                                                           
4928;Stuttgart (Schnarrenberg);R1;07.06.1998-16:00;07.06.1998-17:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;07.06.1998-19:00;09.06.1998-20:00;49;;eor;                                                                                                                            
4928;Stuttgart (Schnarrenberg);R1;09.06.1998-22:00;09.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;10.06.1998-01:00;10.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;10.06.1998-04:00;10.06.1998-06:00;2;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;10.06.1998-10:00;10.06.1998-11:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;10.06.1998-16:00;10.06.1998-17:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;10.06.1998-19:00;10.06.1998-20:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;10.06.1998-22:00;10.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;11.06.1998-01:00;11.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;11.06.1998-04:00;11.06.1998-05:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;11.06.1998-10:00;11.06.1998-11:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;11.06.1998-13:00;11.06.1998-20:00;7;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;11.06.1998-22:00;11.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;12.06.1998-01:00;12.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;12.06.1998-04:00;12.06.1998-05:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;12.06.1998-10:00;12.06.1998-11:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;12.06.1998-13:00;12.06.1998-17:00;4;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;12.06.1998-19:00;12.06.1998-20:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;12.06.1998-22:00;12.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;13.06.1998-01:00;13.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;13.06.1998-04:00;13.06.1998-05:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;13.06.1998-10:00;13.06.1998-11:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;13.06.1998-16:00;13.06.1998-17:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;13.06.1998-19:00;13.06.1998-20:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;13.06.1998-22:00;13.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;14.06.1998-01:00;14.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;14.06.1998-04:00;14.06.1998-05:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;14.06.1998-10:00;14.06.1998-11:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;14.06.1998-16:00;14.06.1998-17:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;14.06.1998-19:00;14.06.1998-20:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;14.06.1998-22:00;14.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;15.06.1998-01:00;15.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;15.06.1998-04:00;15.06.1998-05:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;15.06.1998-10:00;15.06.1998-11:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;15.06.1998-16:00;15.06.1998-17:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;15.06.1998-19:00;15.06.1998-20:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;15.06.1998-22:00;15.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;16.06.1998-01:00;16.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;16.06.1998-04:00;16.06.1998-05:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;16.06.1998-10:00;16.06.1998-11:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;16.06.1998-15:00;16.06.1998-17:00;2;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;16.06.1998-19:00;16.06.1998-20:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;16.06.1998-22:00;16.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;17.06.1998-01:00;17.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;17.06.1998-04:00;17.06.1998-05:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;17.06.1998-10:00;17.06.1998-11:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;17.06.1998-16:00;17.06.1998-17:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;17.06.1998-19:00;17.06.1998-20:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;17.06.1998-22:00;17.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;18.06.1998-01:00;18.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;18.06.1998-04:00;18.06.1998-05:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;18.06.1998-10:00;18.06.1998-11:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;18.06.1998-16:00;18.06.1998-17:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;18.06.1998-19:00;18.06.1998-20:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;18.06.1998-22:00;18.06.1998-23:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;19.06.1998-01:00;19.06.1998-02:00;1;;eor;                                                                                                                             
4928;Stuttgart (Schnarrenberg);R1;19.06.1998-04:00;19.06.1998-05:00;1;;eor;                                                                                                                             
