Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
4931;Stuttgart-Echterdingen;SD_SO;01.03.1993-03:00;30.04.1993-20:00;1098;;eor;                                                                                                                          
4931;Stuttgart-Echterdingen;SD_SO;01.08.1993-03:00;29.09.1995-11:00;14211;;eor;                                                                                                                         
4931;Stuttgart-Echterdingen;SD_SO;29.05.1996-08:00;01.06.1996-06:00;53;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;01.12.1996-08:00;11.12.1996-06:00;179;;eor;                                                                                                                           
4931;Stuttgart-Echterdingen;SD_SO;12.03.1997-08:00;19.03.1997-07:00;126;;eor;                                                                                                                           
4931;Stuttgart-Echterdingen;SD_SO;26.03.1997-07:00;02.04.1997-06:00;126;;eor;                                                                                                                           
4931;Stuttgart-Echterdingen;SD_SO;27.08.2002-03:00;28.08.2002-20:00;36;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;24.06.2003-03:00;24.06.2003-20:00;18;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;14.07.2006-12:00;14.07.2006-20:00;9;;eor;                                                                                                                             
4931;Stuttgart-Echterdingen;SD_SO;15.07.2006-04:00;15.07.2006-18:00;15;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;15.07.2006-20:00;16.07.2006-18:00;17;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;16.07.2006-20:00;17.07.2006-09:00;8;;eor;                                                                                                                             
4931;Stuttgart-Echterdingen;SD_SO;16.12.2007-03:00;16.12.2007-20:00;18;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;07.06.2017-07:00;07.06.2017-20:00;14;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;08.06.2017-13:00;09.06.2017-07:00;13;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;11.01.2018-10:00;15.01.2018-10:00;73;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;26.05.2018-04:00;26.05.2018-13:00;10;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;16.12.2018-03:00;17.12.2018-11:00;27;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;09.04.2020-06:00;15.04.2020-10:00;113;;eor;                                                                                                                           
4931;Stuttgart-Echterdingen;SD_SO;20.09.2021-07:00;20.09.2021-20:00;14;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;22.09.2021-03:00;23.09.2021-13:00;29;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;SD_SO;04.05.2023-06:00;10.05.2023-20:00;123;;eor;                                                                                                                           
generiert: 03.04.2024 --  Deutscher Wetterdienst  --                                                                                                                                                    
