Stations_ID;Stations_Name;Parameter;Von_Datum;Bis_Datum;Anzahl_Fehlwerte;Beschreibung;eor;                                                                                                              
4931;Stuttgart-Echterdingen;TT_TU;02.11.2006-07:00;02.11.2006-07:00;1;;eor;                                                                                                                             
4931;Stuttgart-Echterdingen;TT_TU;10.10.2008-08:00;10.10.2008-08:00;1;;eor;                                                                                                                             
4931;Stuttgart-Echterdingen;TT_TU;03.07.2023-07:00;19.09.2023-06:00;1872;;eor;                                                                                                                          
4931;Stuttgart-Echterdingen;TT_TU;19.09.2023-09:00;20.09.2023-05:00;21;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;TT_TU;20.09.2023-07:00;20.09.2023-11:00;5;;eor;                                                                                                                             
4931;Stuttgart-Echterdingen;RF_TU;13.05.1997-21:00;15.05.1997-17:00;45;;eor;                                                                                                                            
4931;Stuttgart-Echterdingen;RF_TU;02.11.2006-07:00;02.11.2006-07:00;1;;eor;                                                                                                                             
4931;Stuttgart-Echterdingen;RF_TU;10.10.2008-08:00;10.10.2008-08:00;1;;eor;                                                                                                                             
4931;Stuttgart-Echterdingen;RF_TU;03.07.2023-07:00;20.09.2023-13:00;1903;;eor;                                                                                                                          
generiert: 03.04.2024 --  Deutscher Wetterdienst  --                                                                                                                                                    
